Iteración: 62, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 63, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 64, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 65, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 66, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 67, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 68, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 69, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 70, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 71, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 72, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 73, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 74, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 75, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 76, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 77, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 78, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 79, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 80, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 81, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
Iteración: 82, Fitness: 0.02584138623531735, Valores: [0.05917987667349092, 0.25, 12.155845381977887]
